seq_id,family,species,model,embedding_dim
GAPDH|Nysson_spinosus,GAPDH,Nysson_spinosus,esm2_t12_35M_UR50D,480
GAPDH|Tolypocladium_paradoxum,GAPDH,Tolypocladium_paradoxum,esm2_t12_35M_UR50D,480
GAPDH|Mycena_sanguinolenta,GAPDH,Mycena_sanguinolenta,esm2_t12_35M_UR50D,480
GAPDH|Cavia_porcellus,GAPDH,Cavia_porcellus,esm2_t12_35M_UR50D,480
GAPDH|Cryptococcus_neoformans_var._grubii_A1-35-8,GAPDH,Cryptococcus_neoformans_var._grubii_A1-35-8,esm2_t12_35M_UR50D,480
GAPDH|Lipotes_vexillifer,GAPDH,Lipotes_vexillifer,esm2_t12_35M_UR50D,480
GAPDH|Scytalidium_sp._3C,GAPDH,Scytalidium_sp._3C,esm2_t12_35M_UR50D,480
GAPDH|Fusarium_proliferatum_ET1,GAPDH,Fusarium_proliferatum_ET1,esm2_t12_35M_UR50D,480
GAPDH|Bondarzewia_mesenterica,GAPDH,Bondarzewia_mesenterica,esm2_t12_35M_UR50D,480
GAPDH|Scheffersomyces_stipitis_CBS_6054,GAPDH,Scheffersomyces_stipitis_CBS_6054,esm2_t12_35M_UR50D,480
GAPDH|Cryptococcus_neoformans_var._grubii_A5-35-17,GAPDH,Cryptococcus_neoformans_var._grubii_A5-35-17,esm2_t12_35M_UR50D,480
GAPDH|Helicoverpa_zea,GAPDH,Helicoverpa_zea,esm2_t12_35M_UR50D,480
GAPDH|Otus_sunia,GAPDH,Otus_sunia,esm2_t12_35M_UR50D,480
GAPDH|Botrytis_elliptica,GAPDH,Botrytis_elliptica,esm2_t12_35M_UR50D,480
GAPDH|Penicillium_daleae,GAPDH,Penicillium_daleae,esm2_t12_35M_UR50D,480
GAPDH|Juglans_microcarpa_x_Juglans_regia,GAPDH,Juglans_microcarpa_x_Juglans_regia,esm2_t12_35M_UR50D,480
CYTC|Branchiostoma_floridae,CYTC,Branchiostoma_floridae,esm2_t12_35M_UR50D,480
CYTC|Mecyna_flavalis,CYTC,Mecyna_flavalis,esm2_t12_35M_UR50D,480
CYTC|Haliaeetus_albicilla,CYTC,Haliaeetus_albicilla,esm2_t12_35M_UR50D,480
CYTC|Aricia_agestis,CYTC,Aricia_agestis,esm2_t12_35M_UR50D,480
CYTC|Halteria_grandinella,CYTC,Halteria_grandinella,esm2_t12_35M_UR50D,480
CYTC|Tulasnella_sp._403,CYTC,Tulasnella_sp._403,esm2_t12_35M_UR50D,480
CYTC|Myxobolus_squamalis,CYTC,Myxobolus_squamalis,esm2_t12_35M_UR50D,480
CYTC|Coccidioides_posadasii_RMSCC_3488,CYTC,Coccidioides_posadasii_RMSCC_3488,esm2_t12_35M_UR50D,480
CYTC|Laodelphax_striatellus,CYTC,Laodelphax_striatellus,esm2_t12_35M_UR50D,480
CYTC|Cuscuta_campestris,CYTC,Cuscuta_campestris,esm2_t12_35M_UR50D,480
CYTC|Tilletia_controversa,CYTC,Tilletia_controversa,esm2_t12_35M_UR50D,480
CYTC|Plenodomus_lingam,CYTC,Plenodomus_lingam,esm2_t12_35M_UR50D,480
CYTC|Fusarium_poae,CYTC,Fusarium_poae,esm2_t12_35M_UR50D,480
CYTC|Suillus_placidus,CYTC,Suillus_placidus,esm2_t12_35M_UR50D,480
CYTC|Ananas_comosus,CYTC,Ananas_comosus,esm2_t12_35M_UR50D,480
CYTC|Plasmodium_gallinaceum,CYTC,Plasmodium_gallinaceum,esm2_t12_35M_UR50D,480
CYTC|Penicillium_angulare,CYTC,Penicillium_angulare,esm2_t12_35M_UR50D,480
CYTC|Smittium_simulii,CYTC,Smittium_simulii,esm2_t12_35M_UR50D,480
CYTC|Candida_theae,CYTC,Candida_theae,esm2_t12_35M_UR50D,480
CYTC|Histoplasma_capsulatum_G186AR,CYTC,Histoplasma_capsulatum_G186AR,esm2_t12_35M_UR50D,480
CYTC|Scopus_umbretta,CYTC,Scopus_umbretta,esm2_t12_35M_UR50D,480
CYTC|Aspergillus_coremiiformis,CYTC,Aspergillus_coremiiformis,esm2_t12_35M_UR50D,480
CYTC|Xylariaceae_sp._FL0662B,CYTC,Xylariaceae_sp._FL0662B,esm2_t12_35M_UR50D,480
CYTC|Cyclocybe_aegerita,CYTC,Cyclocybe_aegerita,esm2_t12_35M_UR50D,480
