seq_id,family,species
CYTC|Claviceps_citrina,CYTC,Claviceps_citrina
CYTC|Aquila_chrysaetos_chrysaetos,CYTC,Aquila_chrysaetos_chrysaetos
CYTC|Haemaphysalis_longicornis,CYTC,Haemaphysalis_longicornis
CYTC|Alternaria_rosae,CYTC,Alternaria_rosae
CYTC|Penicillium_paradoxum,CYTC,Penicillium_paradoxum
CYTC|Acer_negundo,CYTC,Acer_negundo
CYTC|Meriones_unguiculatus,CYTC,Meriones_unguiculatus
CYTC|Arctium_lappa,CYTC,Arctium_lappa
CYTC|Cheilosia_vulpina,CYTC,Cheilosia_vulpina
CYTC|Leucocoprinus_birnbaumii,CYTC,Leucocoprinus_birnbaumii
CYTC|Myopa_tessellatipennis,CYTC,Myopa_tessellatipennis
CYTC|Suillus_decipiens,CYTC,Suillus_decipiens
CYTC|Chelonia_mydas,CYTC,Chelonia_mydas
CYTC|Deilephila_porcellus,CYTC,Deilephila_porcellus
CYTC|Onthophagus_taurus,CYTC,Onthophagus_taurus
CYTC|Jackrogersella_minutella,CYTC,Jackrogersella_minutella
CYTC|Cyprinodon_variegatus,CYTC,Cyprinodon_variegatus
CYTC|Pluvianellus_socialis,CYTC,Pluvianellus_socialis
CYTC|Alternaria_postmessia,CYTC,Alternaria_postmessia
CYTC|Naganishia_adeliensis,CYTC,Naganishia_adeliensis
CYTC|Acipenser_ruthenus,CYTC,Acipenser_ruthenus
CYTC|Melastoma_candidum,CYTC,Melastoma_candidum
CYTC|Closterium_sp._Naga37s-1,CYTC,Closterium_sp._Naga37s-1
CYTC|Capronia_epimyces_CBS_606.96,CYTC,Capronia_epimyces_CBS_606.96
CYTC|Moesziomyces_antarcticus_T-34,CYTC,Moesziomyces_antarcticus_T-34
CYTC|Electrophaes_corylata,CYTC,Electrophaes_corylata
CYTC|Naganishia_cerealis,CYTC,Naganishia_cerealis
CYTC|Carpatolechia_fugitivella,CYTC,Carpatolechia_fugitivella
CYTC|Hypena_proboscidalis,CYTC,Hypena_proboscidalis
CYTC|Chilo_suppressalis,CYTC,Chilo_suppressalis
CYTC|Chordeiles_acutipennis,CYTC,Chordeiles_acutipennis
CYTC|Penicillium_oxalicum,CYTC,Penicillium_oxalicum
CYTC|Aspergillus_felis,CYTC,Aspergillus_felis
CYTC|Lynx_pardinus,CYTC,Lynx_pardinus
CYTC|Cryptococcus_neoformans_var._grubii_Gb118,CYTC,Cryptococcus_neoformans_var._grubii_Gb118
